"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Cycling","Bike","","","","2020-04-26","","45610.01171875","","",""," *04/26/2020 Geoffrey Chandler: Big ride! Great job.*","2.46972918510437","5.13000011444092","","","","155","178","","","0.930527585439472","242.28","7","18","16","27","17","41","23","","","","","","","","","","","","","","5","1"
"WALK","Run","","0.25","","2020-04-27","","1402.65002441406","","","","","0.268691122531891","1.45000004768372","","55","","101","120","","","0.418539075521227","5.04","16","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"RUN","Run","","0.3","","2020-04-27","","2627.88989257813","","","","","0.289499431848526","2.52099990844727","","76","","168","185","","","0.948362272106168","27.96","0","0","0","2","0","6","9","","","","","","","","","","","","","","",""
"WALK","Run","","","","2020-04-27","","1380.60998535156","","","","","0.277616113424301","1.38100004196167","","53","","129","161","","","0.464102834235377","6.42","8","7","0","1","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE","Bike","Ride for an hour on a trainer, or flat to easy rolling terrain at what feels like ""endurance"" effort. Probably a good bit easier than Sunday's ride going by the HR you recorded.","1","","2020-04-28","","22957.099609375","","",""," *04/29/2020 Quincy Wofford: This paved trail is about as flat as they get in Los Alamos. Too many walkers and hard to keep my heart rate up on downhill portion. I was braking to a stop and using big gears occasionally to artificially bump up the energy required.*","1.25592660903931","5.07800006866455","","","","136","161","","","0.733507060957964","75.3","14","37","15","8","1","0","0","","","","","","","","","","","","","","","1"
"Running","Run","","0.333333333333333","","2020-04-29","","2752.64990234375","","","","","0.338546365499496","2.2590000629425","","75","","164","174","","","0.85828889870369","26.89","0","0","0","1","5","10","4","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-04-29","","20097.5","","",""," *04/30/2020 Geoffrey Chandler: Would you rate this as a pretty hard effort or moderate or what?* *04/30/2020 Quincy Wofford: I struggle with these perceived exertion scores. I would say that this ride is pretty easy for me. The 28 mile ride is moderately hard.*","1.16256630420685","4.80200004577637","","","","148","169","","","0.839779647089837","91.16","6","11","15","26","4","9","0","","","","","","","","","","","","","","4","1"
"EASY RIDE","Bike","Do you have an easy route you can do today? Easy spin. Just enough effort to raise the HR a little and get blood to the muscles for recovery.","0.75","","2020-04-30","","14384.51953125","","",""," *04/30/2020 Quincy Wofford: Yes, I can load up the bike and go somewhere flatter today.* *05/02/2020 Geoffrey Chandler: I like that HR better for building our base.*","0.838064730167389","4.76800012588501","","","","119","154","","","0.646386917468499","38.62","34","11","4","1","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-04-30","","3144.080078125","","","","","0.271795272827148","3.21300005912781","","","","131","145","","","0.672689487103138","13.18","4","12","0","0","0","0","0","","","","","","","","","","","","","","",""
"REST & RECOVERY","Day Off","How is the body feeling after several days of cycling and running?","","","2020-05-01","","","","",""," *05/01/2020 Quincy Wofford: Yesterday my muscles were fatigued but not sore. Today my muscles are less fatigued, and I expect to be 100% by tomorrow.*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
